Date,Open,High,Low,Close,Volume,Change
2021-03-05,9625,9770,9415,9765,73621,
2021-03-08,9810,9820,9275,9275,81503,-0.05017921146953408
2021-03-09,9225,9260,8770,9080,61559,-0.021024258760107828
2021-03-10,9315,9370,9035,9050,55377,-0.0033039647577092213
2021-03-11,9075,9150,8950,9150,65610,0.011049723756906049
2021-03-12,9360,9695,9355,9685,104016,0.058469945355191344
2021-03-15,9685,9780,9525,9690,172872,0.0005162622612286949
2021-03-16,9755,9895,9735,9895,136588,0.02115583075335392
2021-03-17,9900,9900,9700,9880,52242,-0.001515917129863542
2021-03-18,9975,9975,9820,9875,54088,-0.0005060728744938903
2021-03-19,9600,9780,9600,9700,38516,-0.017721518987341756
2021-03-22,9790,9790,9560,9635,138562,-0.006701030927835028
2021-03-23,9720,9750,9470,9480,51855,-0.0160871821484172
2021-03-24,9460,9655,9315,9655,140573,0.01845991561181437
2021-03-25,9600,9860,9595,9825,142020,0.017607457276022753
2021-03-26,9880,9945,9755,9945,45797,0.012213740458015376
2021-03-29,10050,10265,9970,10220,173609,0.02765208647561579
2021-03-30,10315,10325,10155,10210,127661,-0.0009784735812132794
2021-03-31,10240,10375,10170,10290,137140,0.007835455435847294
2021-04-01,10380,10380,10150,10180,122229,-0.010689990281827044
2021-04-02,10245,10245,9955,10020,160227,-0.015717092337917515
2021-04-05,10020,10070,9950,10005,142685,-0.0014970059880239361
2021-04-06,10020,10055,9875,9950,135185,-0.005497251374312895
2021-04-07,9985,10090,9980,10070,68035,0.012060301507537785
2021-04-08,10155,10280,10105,10280,124057,0.020854021847070525
2021-04-09,10325,10335,10180,10305,110174,0.0024319066147859836
2021-04-12,10305,10305,10140,10250,40281,-0.005337214944201807
2021-04-13,10250,10315,10205,10250,43825,0.0
2021-04-14,10300,10450,10265,10450,63942,0.019512195121951237
2021-04-15,10525,10525,10375,10405,41374,-0.0043062200956938135
2021-04-16,10480,10615,10350,10610,54492,0.01970206631427196
2021-04-19,10650,10690,10555,10690,73837,0.007540056550424223
2021-04-20,10655,10750,10600,10735,46911,0.004209541627689495
2021-04-21,10715,10740,10460,10485,87135,-0.023288309268747143
2021-04-22,10630,10835,10630,10780,96840,0.028135431568907965
2021-04-23,10790,10860,10735,10775,89193,-0.0004638218923933568
2021-04-26,10830,10830,10605,10695,84394,-0.007424593967517379
2021-04-27,10695,10695,10520,10550,60014,-0.013557737260402103
2021-04-28,10535,10535,10165,10230,84872,-0.03033175355450235
2021-04-29,10305,10310,10030,10065,89343,-0.016129032258064502
2021-04-30,10105,10215,9985,10100,58277,0.003477396920019915
2021-05-03,10080,10080,9660,9700,116879,-0.03960396039603964
2021-05-04,9600,9630,9335,9605,138184,-0.009793814432989656
2021-05-06,9555,9790,9505,9760,47534,0.016137428422696498
2021-05-07,9870,9985,9825,9825,74988,0.006659836065573854
2021-05-10,9885,9975,9865,9970,40661,0.014758269720101858
2021-05-11,9815,9900,9695,9750,84243,-0.0220661985957874
2021-05-12,9790,9895,9510,9575,85463,-0.017948717948717996
2021-05-13,9370,9590,9345,9380,57094,-0.020365535248041744
2021-05-14,9470,9500,9380,9405,30906,0.0026652452025586193
2021-05-17,9450,9495,9380,9490,23188,0.009037745879851178
2021-05-18,9485,9550,9450,9550,33786,0.006322444678608985
2021-05-20,9580,9695,9500,9695,54921,0.015183246073298351
2021-05-21,9775,9885,9675,9740,177405,0.004641567818463033
2021-05-24,9800,9810,9555,9555,72642,-0.018993839835729
2021-05-25,9610,9730,9560,9730,205529,0.01831501831501825
2021-05-26,9750,9925,9740,9925,145449,0.020041109969167525
2021-05-27,10070,10165,9915,10165,165282,0.024181360201511293
2021-05-28,10210,10260,10130,10160,83454,-0.0004918839153960075
2021-05-31,10265,10340,10210,10280,52489,0.011811023622047223
2021-06-01,10345,10370,10265,10350,40469,0.006809338521400754
2021-06-02,10375,10805,10375,10700,132602,0.033816425120772875
2021-06-03,10765,10765,10565,10650,49894,-0.004672897196261627
2021-06-04,10640,10800,10580,10780,66670,0.012206572769952961
2021-06-07,10915,11345,10910,11345,153156,0.05241187384044532
2021-06-08,11385,11390,10790,10790,179433,-0.04892022917584837
2021-06-09,10820,10900,10545,10670,105654,-0.011121408711770142
2021-06-10,10645,10660,10540,10605,30197,-0.006091846298031833
2021-06-11,10690,10750,10565,10720,41266,0.010843941537010737
2021-06-14,10840,10840,10635,10730,20031,0.000932835820895539
2021-06-15,10730,10730,10600,10620,95016,-0.010251630941286116
2021-06-16,10615,10695,10545,10665,35493,0.004237288135593209
2021-06-17,10645,10680,10580,10645,27833,-0.0018752930145334856
2021-06-18,10675,10840,10670,10840,43723,0.018318459370596507
2021-06-21,10825,10825,10655,10670,32244,-0.01568265682656822
2021-06-22,10735,10810,10705,10750,26510,0.007497656982192957
2021-06-23,10785,10790,10680,10680,35732,-0.006511627906976791
2021-06-24,10685,10685,10520,10550,41536,-0.01217228464419473
2021-06-25,10550,10670,10550,10590,57797,0.0037914691943128354
2021-06-28,10590,10610,10485,10490,222843,-0.009442870632672351
2021-06-29,10595,10635,10530,10575,119591,0.008102955195424144
2021-06-30,10610,10610,10535,10570,30239,-0.00047281323877068626
2021-07-01,10590,10650,10560,10570,39199,0.0
2021-07-02,10640,10670,10575,10600,23066,0.002838221381267658
2021-07-05,10600,10665,10580,10610,22170,0.0009433962264151496
2021-07-06,10655,10765,10635,10710,28691,0.009425070688030113
2021-07-07,10735,10735,10535,10585,32759,-0.011671335200746924
2021-07-08,10590,10590,10340,10385,44968,-0.018894662257912143
2021-07-09,10200,10275,10125,10275,66724,-0.010592200288878195
2021-07-12,10355,10380,10280,10370,45333,0.009245742092457432
2021-07-13,10375,10585,10370,10545,27702,0.01687560270009647
2021-07-14,10520,10675,10460,10625,45773,0.007586533902323334
2021-07-15,10695,10720,10665,10710,48209,0.008000000000000007
2021-07-16,10700,10700,10530,10605,42246,-0.009803921568627416
2021-07-19,10500,10650,10475,10640,31820,0.0033003300330032292
2021-07-20,10525,10770,10500,10760,69703,0.011278195488721776
2021-07-21,10800,10875,10790,10835,61517,0.0069702602230483635
2021-07-22,10925,10945,10790,10790,47520,-0.00415320719889245
2021-07-23,10800,10850,10775,10800,56396,0.000926784059314123
2021-07-26,10830,10830,10550,10580,60245,-0.020370370370370372
2021-07-27,10645,10750,10645,10675,65023,0.008979206049149369
2021-07-28,10605,10750,10520,10660,54391,-0.001405152224824402
2021-07-29,10720,10770,10605,10630,57084,-0.0028142589118198558
2021-07-30,10650,10650,10395,10420,52505,-0.019755409219190945
2021-08-02,10440,10440,10280,10350,33260,-0.006717850287907834
2021-08-03,10320,10380,10170,10235,132934,-0.011111111111111072
